case_id,storm_id,name,basin,episode_index,episode_start,episode_end,closest_approach_time,reference_time,reference_event,latitude,longitude,nearest_coast_latitude,nearest_coast_longitude,minimum_coast_distance_km,lifetime_vmax_kt,coastal_episode_vmax_kt,closest_approach_vmax_kt,reference_vmax_kt,crossing_vmax_kt,landfall_vmax_kt,coastline_crossing,crossing_count,landfall_crossing,landfall_count,coastline_exit,exit_count,tangent_crossing_count,r34_contact,r50_contact,r64_contact,r34_contact_hours,coastal_contact_span_hours,tier,primary_sample,selection_method,center_surface_at_closest_approach,center_surface_at_reference,nature_at_closest_approach,usa_status_at_closest_approach,nature_at_reference,usa_status_at_reference,track_types,provisional_track,r34_coverage_fraction,usa_wind_coverage_fraction,qc_status
2022257N16312-CE04,2022257N16312,FIONA,NA,4,2022-09-23 20:40:00+00:00,2022-09-25 07:46:40+00:00,2022-09-25 07:46:40+00:00,2022-09-24 07:02:38.502928+00:00,landfall,45.21320925880477,-61.2,45.21320925880477,-61.2,0.0,120.0,113.16,45.55555555555556,85.0,85.0,85.0,True,5,True,5,True,4,5,True,True,True,32.20039682527778,35.111111111111114,A,True,landfall_crossing+wind_radius,sea,coastline,ET,EX,ET,EX,main,False,1.0,1.0,passed
2022264N17132-CE01,2022264N17132,NORU,WP,1,2022-09-24 19:30:00+00:00,2022-09-25 11:34:17.142857+00:00,2022-09-25 11:34:17.142857+00:00,2022-09-25 11:38:02.712618+00:00,landfall,15.18788843317617,121.47321277719672,15.18788843317617,121.47321277719672,0.0,145.0,145.0,116.14285714285714,116.14285714285714,116.14285714285714,116.14285714285714,True,1,True,1,False,0,0,True,True,True,13.892857142916666,16.07142857138889,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022264N17132-CE02,2022264N17132,NORU,WP,2,2022-09-25 18:00:00+00:00,2022-09-25 21:20:00+00:00,2022-09-25 18:00:00+00:00,2022-09-25 18:00:00+00:00,coastal_approach,15.500000000000002,119.9,15.496638999999998,119.89875000000002,0.3953520852628056,145.0,115.0,90.0,90.0,,,False,0,False,0,True,1,1,True,True,True,3.333333333333333,3.333333333333333,A,True,wind_radius,sea,sea,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022266N12294-CE01,2022266N12294,IAN,NA,1,2022-09-26 08:34:17.142857+00:00,2022-09-28 20:05:00+00:00,2022-09-28 20:05:00+00:00,2022-09-27 08:19:45.669003+00:00,landfall,22.1726989674928,-83.69315619845587,22.1726989674928,-83.69315619845587,0.0,140.0,140.0,126.66666666666669,110.0,131.66666666666666,131.66666666666666,True,3,True,3,True,2,1,True,True,True,52.44761904763888,59.51190476194444,A,True,landfall_crossing+wind_radius,land,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
2022264N17132-CE03,2022264N17132,NORU,WP,3,2022-09-26 14:10:54.545454+00:00,2022-09-27 20:00:00+00:00,2022-09-27 20:00:00+00:00,2022-09-27 20:14:55.194191+00:00,landfall,15.800107968561184,108.42522244706169,15.800107968561184,108.42522244706169,0.0,145.0,130.0,81.66666666666667,81.66666666666667,81.66666666666667,81.66666666666667,True,1,True,1,False,0,0,True,True,True,29.81818181833333,29.818181818333333,A,True,landfall_crossing+wind_radius,sea,coastline,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022266N12294-CE02,2022266N12294,IAN,NA,2,2022-09-29 11:24:00+00:00,2022-09-30 18:00:00+00:00,2022-09-30 18:00:00+00:00,2022-09-29 11:46:45.090075+00:00,landfall,28.370569688394763,-80.61477150667038,28.370569688394763,-80.61477150667038,0.0,140.0,75.0,70.0,60.0,70.42857142857143,70.42857142857143,True,3,True,3,True,3,5,True,True,True,24.73571428569445,30.6,A,True,landfall_crossing+wind_radius,land,coastline,TS,HU,TS,TS,main,False,1.0,1.0,passed
2022272N14258-CE01,2022272N14258,ORLENE,EP,1,2022-10-02 20:24:00+00:00,2022-10-03 15:00:00+00:00,2022-10-03 14:35:00+00:00,2022-10-03 05:22:05.227941+00:00,landfall,21.59469394753364,-106.6211195577918,21.59469394753364,-106.6211195577918,0.0,115.0,108.0,70.0,85.83333333333333,85.83333333333333,85.83333333333333,True,2,True,2,True,1,0,True,True,True,18.1,18.6,A,True,landfall_crossing+wind_radius,sea,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
2022280N11294-CE01,2022280N11294,JULIA,NA,1,2022-10-08 16:20:00+00:00,2022-10-09 07:57:00+00:00,2022-10-08 22:52:30+00:00,2022-10-09 06:47:54.174843+00:00,landfall,12.400038255018789,-83.49161166025321,12.400038255018789,-83.49161166025321,0.0,75.0,75.0,64.25,75.0,75.0,75.0,True,2,True,2,True,1,1,True,True,True,14.797916666666666,15.616666666666667,A,True,landfall_crossing+wind_radius,sea,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
2022285N17140-CE01,2022285N17140,NESAT,WP,1,2022-10-15 10:48:00+00:00,2022-10-17 17:00:00+00:00,2022-10-15 21:30:00+00:00,2022-10-15 21:30:00+00:00,coastal_approach,19.216761551702536,121.51670877221956,19.245389,121.510806,3.229118381783035,90.0,90.0,50.0,50.0,,,False,0,False,0,False,0,0,True,True,False,48.62857142861111,54.2,B,True,wind_radius,sea,sea,TS,TS,TS,TS,main,False,0.9224806201550388,1.0,passed
2022285N17140-CE02,2022285N17140,NESAT,WP,2,2022-10-18 01:12:00+00:00,2022-10-18 21:36:00+00:00,2022-10-18 15:00:00+00:00,2022-10-18 15:00:00+00:00,coastal_approach,17.400000000000002,112.1,16.965333000000005,112.29825,52.52524025221604,90.0,89.2,65.0,65.0,,,False,0,False,0,False,0,0,True,True,False,20.40000000000001,20.4,B,True,wind_radius,sea,sea,TS,TY,TS,TY,main,False,1.0,1.0,passed
2022293N15259-CE01,2022293N15259,ROSLYN,EP,1,2022-10-23 01:00:00+00:00,2022-10-23 11:20:00+00:00,2022-10-23 11:20:00+00:00,2022-10-23 11:21:56.646017+00:00,landfall,21.909722020977437,-105.59514622085166,21.909722020977437,-105.59514622085166,0.0,115.0,115.0,105.0,105.0,105.0,105.0,True,1,True,1,False,0,0,True,True,True,10.333333333333334,10.333333333333334,A,True,landfall_crossing+wind_radius,sea,coastline,TS,HU,TS,HU,main,False,1.0,1.0,passed
